


		Rh/Fe THERMOMETER CALIBRATION FILE
		----------------------------------

Temperature K	Resistance in ohms

          NEXT SENSOR
13.032 3.23620
16.015 3.40738
20.035 3.60016
25.047 3.80571
27.364 3.89502
30.167 4.00354
35.065 4.20231
40.147 4.43325
50.198 4.99387
60.339 5.70832
70.256 6.53127
80.171 7.44689
90.184 8.43436
100.300 9.47037
125.208 12.08303
149.960 14.66978
175.077 17.24970
200.152 19.78255
225.345 22.29593
250.483 24.78552
272.909 26.99889
273.335 27.04063
300.493 29.72104
    325.00000     32.14539
    350.00000     34.61555
    375.00000     37.08571
    400.00000     39.55587
 
(******************************************************************************)
 
          NEXT SENSOR
 
       644
1.456 1.56375
2.001 1.65451
2.409 1.71992
2.804 1.78094
3.219 1.84259
4.020 1.95444
4.229 1.98223
5.414 2.12909
7.088 2.31000
8.083 2.40501
10.084 2.57405
13.112 2.78650
16.012 2.95506
20.055 3.15174
25.156 3.36326
27.469 3.45335
30.308 3.56444
34.944 3.75487
39.984 3.98601
50.276 4.56780
60.331 5.28938
70.289 6.13223
80.198 7.06578
90.910 8.14587
100.256 9.12455
125.168 11.79203
149.967 14.43635
175.231 17.08221
200.259 19.65858
225.207 22.19495
250.114 24.70770
272.870 26.99573
273.326 27.04142
300.384 29.76110
    325.00000     32.24157
    350.00000     34.75768
    375.00000     37.27379
    400.00000     39.78990
 
(******************************************************************************)
 
          NEXT SENSOR
 
      645
1.456 1.54697
2.001 1.63772
2.409 1.70311
2.804 1.76417
3.219 1.82566
4.019 1.93741
4.229 1.96525
5.414 2.11196
7.088 2.29254
8.083 2.38756
10.084 2.55662
13.111 2.76883
16.012 2.93706
20.055 3.13355
25.156 3.34488
27.469 3.43502
30.308 3.54593
34.944 3.73617
39.984 3.96746
50.276 4.54913
60.331 5.27057
70.289 6.11354
80.198 7.04740
90.910 8.12779
100.256 9.10688
125.168 11.77512
149.967 14.42030
175.231 17.06683
200.259 19.64394
225.207 22.18111
250.114 24.69485
272.870 26.98378
273.326 27.02958
300.384 29.75042
    325.00000     32.23189
    350.00000     34.74905
    375.00000     37.26621
    400.00000     39.78338
 
(******************************************************************************)
 
          NEXT SENSOR
 
        648
1.455 1.51729
2.000 1.60627
2.409 1.67077
2.804 1.73078
3.219 1.79132
4.019 1.90106
4.229 1.92850
5.414 2.07313
7.088 2.25091
8.083 2.34449
10.084 2.51112
13.111 2.72077
16.012 2.88704
20.055 3.08174
25.156 3.29237
27.469 3.38256
30.308 3.49396
34.944 3.68529
39.984 3.91814
50.276 4.50433
60.331 5.23015
70.289 6.07685
80.198 7.01390
90.911 8.09726
100.256 9.07826
125.168 11.75130
149.967 14.40097
175.232 17.05249
200.260 19.63428
225.207 22.17592
250.114 24.69392
272.871 26.98672
273.326 27.03246
300.385 29.75771
    325.00000     32.24321
    350.00000     34.76449
    375.00000     37.28577
    400.00000     39.80704
 
(******************************************************************************)
 
          NEXT SENSOR
 
	649
1.454 1.52865
1.999 1.61942
2.408 1.68481
2.804 1.74594
3.219 1.80733
4.019 1.91892
4.229 1.94674
5.414 2.09352
7.088 2.27403
8.083 2.36912
10.084 2.53824
13.111 2.75072
16.012 2.91910
20.055 3.11583
25.156 3.32743
27.469 3.41771
30.308 3.52879
34.944 3.71929
39.984 3.95083
50.276 4.53290
60.331 5.25485
70.289 6.09867
80.198 7.03333
90.911 8.11489
100.256 9.09474
125.168 11.76541
149.967 14.41299
175.232 17.06179
200.260 19.64058
225.206 22.17903
250.114 24.69390
272.871 26.98375
273.326 27.02948
300.385 29.75147
    325.00000     32.23383
    350.00000     34.75196
    375.00000     37.27010
    400.00000     39.78823
 
(******************************************************************************)
 
          NEXT SENSOR
 
        650
1.454 1.51303
1.999 1.60363
2.408 1.66908
2.804 1.73016
3.219 1.79150
4.019 1.90299
4.228 1.93078
5.414 2.07738
7.087 2.25799
8.083 2.35304
10.084 2.52211
13.111 2.73453
16.012 2.90297
20.055 3.09972
25.156 3.31136
27.469 3.40163
30.308 3.51268
34.944 3.70325
39.985 3.93483
50.276 4.51713
60.331 5.23932
70.289 6.08335
80.198 7.01837
90.911 8.10034
100.256 9.08062
125.168 11.75240
149.967 14.40099
175.232 17.05096
200.260 19.63090
225.206 22.17058
250.114 24.68678
272.871 26.97789
273.326 27.02357
300.385 29.74683
    325.00000     32.23047
    350.00000     34.74987
    375.00000     37.26928
    400.00000     39.78868
 
(******************************************************************************)
 
          NEXT SENSOR
 
	782
1.467 1.98385
1.583 2.00370
1.996 2.07252
2.805 2.20014
3.211 2.26036
4.014 2.37252
4.224 2.40043
5.406 2.54634
7.074 2.72533
8.060 2.81895
10.043 2.98539
13.042 3.19417
16.012 3.36501
20.003 3.55683
25.052 3.76410
27.340 3.85233
30.173 3.96189
35.307 4.17095
40.178 4.39394
50.263 4.95953
60.376 5.67658
70.321 6.50754
80.246 7.42975
90.229 8.41977
100.337 9.46067
125.278 12.08799
150.136 14.69434
175.235 17.27855
200.283 19.81334
225.267 22.30896
250.374 24.79750
272.996 27.03177
273.291 27.06082
300.772 29.77380
    325.00000     32.17228
    350.00000     34.64391
    375.00000     37.11555
    400.00000     39.58719
 
(******************************************************************************)
 
          NEXT SENSOR
 
      783
1.467 2.06770
1.583 2.08789
1.996 2.15694
2.805 2.28520
3.211 2.34570
4.014 2.45840
4.224 2.48636
5.406 2.63300
7.075 2.81310
8.060 2.90731
10.043 3.07480
13.042 3.28554
16.012 3.45796
20.003 3.65164
25.052 3.86118
27.340 3.95038
30.173 4.06101
35.307 4.27201
40.178 4.49638
50.263 5.06429
60.376 5.78269
70.321 6.61342
80.246 7.53438
90.229 8.52193
100.337 9.55947
125.278 12.17643
150.136 14.77076
175.235 17.34186
200.282 19.86339
225.267 22.34522
250.374 24.81927
272.995 27.04005
273.291 27.06898
300.772 29.76500
    325.00000     32.14926
    350.00000     34.60598
    375.00000     37.06270
    400.00000     39.51941
 
(******************************************************************************)
 
          NEXT SENSOR
 
       784
1.467 2.08439
1.584 2.10448
1.996 2.17398
2.805 2.30285
3.211 2.36360
4.014 2.47680
4.224 2.50489
5.407 2.65204
7.075 2.83266
8.060 2.92705
10.043 3.09508
13.042 3.30628
16.012 3.47904
20.003 3.67320
25.052 3.88313
27.340 3.97257
30.174 4.08350
35.307 4.29483
40.178 4.51963
50.263 5.08862
60.376 5.80786
70.321 6.63951
80.246 7.56090
90.229 8.54888
100.337 9.58646
125.278 12.20279
150.136 14.79550
175.235 17.36465
200.282 19.88368
225.267 22.36270
250.374 24.83355
272.995 27.05112
273.291 27.08018
300.771 29.77202
    325.00000     32.15318
    350.00000     34.60647
    375.00000     37.05976
    400.00000     39.51304
 
(******************************************************************************)
 
          NEXT SENSOR
 
       785
1.467 1.99065
1.584 2.01045
1.996 2.07960
2.805 2.20765
3.211 2.26818
4.014 2.38049
4.224 2.40842
5.407 2.55479
7.075 2.73423
8.060 2.82791
10.043 2.99467
13.042 3.20390
16.012 3.37494
20.003 3.56692
25.052 3.77450
27.341 3.86294
30.174 3.97260
35.307 4.18200
40.178 4.40518
50.263 4.97143
60.376 5.68902
70.321 6.52060
80.246 7.44310
90.229 8.43320
100.337 9.47403
125.278 12.10067
150.136 14.70564
175.235 17.28804
200.283 19.82074
225.267 22.31404
250.374 24.80003
272.995 27.03162
273.291 27.06086
300.771 29.77067
    325.00000     32.16672
    350.00000     34.63567
    375.00000     37.10462
    400.00000     39.57357
 
(******************************************************************************)
 
          NEXT SENSOR
 
     1173
1.499   1.44638
2.007   1.52770
2.809   1.64985
3.214   1.70790
4.017   1.81654
4.227   1.84354
5.400   1.98413
7.053   2.15706
8.035   2.24797
10.030  2.41102
13.056  2.61586
16.051  2.78274
20.136  2.97231
25.159  3.17195
27.473  3.25877
30.027  3.35534
35.011  3.55415
40.087  3.78316
50.268  4.35447
60.390  5.08000
70.198  5.91266
80.303  6.87020
90.160  7.87005
100.244 8.93349
125.349 11.64531
151.374 14.44474
175.371 16.98031
200.311 19.57286
225.345 22.14393
250.422 24.70040
272.818 26.97626
273.263 27.02167
300.270 29.76649
    325.00000     32.28504
    350.00000     34.82844
    375.00000     37.37183
    400.00000     39.91523
 
(******************************************************************************)
 
          NEXT SENSOR
 
     1066
1.499   1.45161
2.007   1.53263
2.809   1.65409
3.214   1.71205
4.017   1.82042
4.227   1.84739
5.400   1.98777
7.052   2.16025
8.036   2.25115
10.030  2.41380
13.056  2.61864
16.051  2.78561
20.136  2.97539
25.159  3.17525
27.473  3.26217
30.027  3.35870
35.011  3.55753
40.087  3.78677
50.268  4.35818
60.390  5.08403
70.198  5.91716
80.303  6.87516
90.160  7.87600
100.244 8.94031
125.349 11.65464
151.374 14.45681
175.371 16.99519
200.311 19.59050
225.346 22.16415
250.422 24.72335
272.818 27.00164
273.263 27.04673
300.270 29.79415
    325.00000     32.31534
    350.00000     34.86125
    375.00000     37.40717
    400.00000     39.95308
 
(******************************************************************************)
 
          NEXT SENSOR
 
     1109
1.499   1.45171
2.007   1.53207
2.809   1.65325
3.214   1.71089
4.017   1.81889
4.227   1.84583
5.400   1.98577
7.052   2.15763
8.035   2.24827
10.030  2.41063
13.056  2.61493
16.051  2.78138
20.136  2.97057
25.159  3.16983
27.473  3.25655
30.027  3.35289
35.011  3.55117
40.087  3.77982
50.268  4.34958
60.390  5.07333
70.198  5.90408
80.303  6.85949
90.160  7.85755
100.244 8.91917
125.349 11.62768
151.374 14.42494
175.371 16.95983
200.311 19.55208
225.346 22.12339
250.422 24.68066
272.818 26.95776
273.263 27.00293
300.270 29.74950
    325.00000     32.26910
    350.00000     34.81371
    375.00000     37.35833
    400.00000     39.90294
 
(******************************************************************************)
 
          NEXT SENSOR
 
     1149
1.492   1.44452
2.030   1.53051
2.808   1.64827
3.211   1.70599
4.013   1.81469
4.224   1.84154
5.401   1.98274
7.049   2.15499
8.032   2.24604
10.067  2.41214
13.078  2.61571
16.069  2.78231
20.053  2.96754
25.109  3.16920
27.342  3.25300
29.735  3.34345
34.893  3.54845
40.162  3.78604
50.191  4.34881
60.336  5.07503
70.202  5.91245
80.303  6.86953
90.266  7.88064
100.342 8.94363
125.335 11.64446
150.089 14.30917
175.084 16.95267
200.036 19.54733
225.191 22.13134
250.266 24.68814
272.878 26.98657
273.345 27.03404
300.189 29.76270
    325.00000     32.28998
    350.00000     34.83383
    375.00000     37.37769
    400.00000     39.92154
 
(******************************************************************************)
 
          NEXT SENSOR
 
      1155
1.492   1.44198
2.030   1.52818
2.808   1.64606
3.211   1.70401
4.013   1.81283
4.224   1.83971
5.401   1.98091
7.049   2.15328
8.032   2.24430
10.068  2.41050
13.078  2.61412
16.069  2.78086
20.053  2.96605
25.109  3.16764
27.342  3.25152
29.735  3.34205
34.893  3.54726
40.162  3.78502
50.191  4.34787
60.336  5.07483
70.202  5.91256
80.302  6.87002
90.266  7.88160
100.342 8.94503
125.335 11.64616
150.089 14.31114
175.084 16.95437
200.036 19.54859
225.191 22.13208
250.266 24.68803
272.878 26.98584
273.345 27.03325
300.189 29.76110
    325.00000     32.28757
    350.00000     34.83065
    375.00000     37.37372
    400.00000     39.91680
 
(******************************************************************************)
 
          NEXT SENSOR
 
     1095
1.492   1.43877
2.031   1.52506
2.808   1.64296
3.211   1.70072
4.013   1.80924
4.224   1.83628
5.401   1.97748
7.049   2.14978
8.032   2.24095
10.068  2.40702
13.078  2.61064
16.069  2.77724
20.053  2.96273
25.109  3.16459
27.342  3.24843
29.735  3.33894
34.893  3.54426
40.162  3.78231
50.191  4.34553
60.336  5.07249
70.202  5.91026
80.302  6.86753
90.266  7.87855
100.342 8.94165
125.335 11.64235
150.089 14.30728
175.084 16.95145
200.036 19.54750
225.191 22.13337
250.266 24.69189
272.878 26.99239
273.345 27.03985
300.189 29.77113
    325.00000     32.30032
    350.00000     34.84631
    375.00000     37.39230
    400.00000     39.93829
 
